Word,Lower,Level
Ellenbogen,ellenbogen,A1
Empfänger,empfänger,A1
Entschuldigungsschreiben,entschuldigungsschreiben,A1
erkälten,erkälten,A1
Erkältung,erkältung,A1
euer,euer,A1
eure,eure,A1
Fieber,fieber,A1
Finger,finger,A1
freundlich,freundlich,A1
geehrter,geehrter,A1
geehrte,geehrte,A1
Gesicht,gesicht,A1
Gesundheit,gesundheit,A1
Gesundheitskarte,gesundheitskarte,A1
Grippe,grippe,A1
Gruppe,gruppe,A1
Haar,haar,A1
Hals,hals,A1
Halsweh,halsweh,A1
Hand,hand,A1
Hausarzt,hausarzt,A1
heiß,heiß,A1
Husten,husten,A1
Hustensaft,hustensaft,A1
Knie,knie,A1
Kopf,kopf,A1
Kopfschmerzen,kopfschmerzen,A1
Körper,körper,A1
Körperteil,körperteil,A1
krank,krank,A1
Krankheit,krankheit,A1
Krankmeldung,krankmeldung,A1
März,märz,A1
Medikament,medikament,A1
Mund,mund,A1
Nacken,nacken,A1
Nase,nase,A1
Notfallsprechstunde,notfallsprechstunde,A1
Ohr,ohr,A1
Orthopäde,orthopäde,A1
Patient,patient,A1
Patientin,patientin,A1
per,per,A1
Pﬂaster,pﬂaster,A1
Praktikum,praktikum,A1
Praktikumsbetreuerin,praktikumsbetreuerin,A1
Praxis,praxis,A1
Praxisgemeinschaft,praxisgemeinschaft,A1
rauchen,rauchen,A1
regelmäßig,regelmäßig,A1
Rezept,rezept,A1
rot,rot,A1
Rücken,rücken,A1
rund,rund,A1
Salbe,salbe,A1
schicken,schicken,A1
Schmerz,schmerz,A1
Schnupfen,schnupfen,A1
Schulter,schulter,A1
schwanger,schwanger,A1
"sein, seine","sein, seine",A1
Sprechstunde,sprechstunde,A1
Sprechstundenhilfe,sprechstundenhilfe,A1
Sprechzimmer,sprechzimmer,A1
stark,stark,A1
Stirn,stirn,A1
Tablette,tablette,A1
Termin,termin,A1
Tropfen,tropfen,A1
Unterschrift,unterschrift,A1
Untersuchung,untersuchung,A1
Verband,verband,A1
verschieden,verschieden,A1
Vorsorge,vorsorge,A1
Wartezimmer,wartezimmer,A1
Wechsel,wechsel,A1
wechseln,wechseln,A1
wehtun,wehtun,A1
wieder,wieder,A1
wiederkommen,wiederkommen,A1
Zahn,zahn,A1
Zeh,zeh,A1
zurzeit,zurzeit,A1
aufwachsen,aufwachsen,A1
beantworten,beantworten,A1
Besuch,besuch,A1
Bewegung,bewegung,A1
bilden,bilden,A1
Blume,blume,A1
Dienst,dienst,A1
extra,extra,A1
Ferienhaus,ferienhaus,A1
früher,früher,A1
geboren,geboren,A1
gerade,gerade,A1
gucken,gucken,A1
Hausﬂur,hausﬂur,A1
heiraten,heiraten,A1
Hobby,hobby,A1
Ingenieur,ingenieur,A1
Insel,insel,A1
Inselrundfahrt,inselrundfahrt,A1
kennen,kennen,A1
Koffer,koffer,A1
letzte,letzte,A1
Meer,meer,A1
Mond,mond,A1
Nachbar,nachbar,A1
Nachbarin,nachbarin,A1
Natur,natur,A1
packen,packen,A1
Postkarte,postkarte,A1
Reise,reise,A1
Schiff,schiff,A1
Seehund,seehund,A1
Ski,ski,A1
Strand,strand,A1
stressig,stressig,A1
Studium,studium,A1
stundenlang,stundenlang,A1
Suppe,suppe,A1
süß,süß,A1
Tennis,tennis,A1
Tourist,tourist,A1
unregelmäßig,unregelmäßig,A1
Urlaub,urlaub,A1
verdienen,verdienen,A1
warten,warten,A1
Wetter,wetter,A1
anziehen,anziehen,A1
Anzug,anzug,A1
beige,beige,A1
bequem,bequem,A1
besser,besser,A1
besten,besten,A1
bestimmt,bestimmt,A1
blau,blau,A1
blöd,blöd,A1
Bluse,bluse,A1
braun,braun,A1
bringen,bringen,A1
denken,denken,A1
Einkaufsbummel,einkaufsbummel,A1
eng,eng,A1
euch,euch,A1
Farbe,farbe,A1
furchtbar,furchtbar,A1
gefallen,gefallen,A1
gegenseitig,gegenseitig,A1
gelb,gelb,A1
genauso,genauso,A1
glauben,glauben,A1
grau,grau,A1
günstig,günstig,A1
Hemd,hemd,A1
Hose,hose,A1
ihm,ihm,A1
Jacke,jacke,A1
Jeans,jeans,A1
Jogginganzug,jogginganzug,A1
Kassenbon,kassenbon,A1
Kaufhaus,kaufhaus,A1
Klamotten,klamotten,A1
klasse,klasse,A1
Kleid,kleid,A1
Kleidung,kleidung,A1
Kleidungsstück,kleidungsstück,A1
lila,lila,A1
Mantel,mantel,A1
meisten,meisten,A1
Mode,mode,A1
Modell,modell,A1
Mütze,mütze,A1
online,online,A1
Ordnung,ordnung,A1
Paar,paar,A1
passen,passen,A1
positiv,positiv,A1
probieren,probieren,A1
Prospekt,prospekt,A1
Pullover,pullover,A1
raten,raten,A1
Rock,rock,A1
Schal,schal,A1
Schuh,schuh,A1
schwarz,schwarz,A1
sicher,sicher,A1
Socke,socke,A1
Sportschuh,sportschuh,A1
Strickjacke,strickjacke,A1
Strumpf,strumpf,A1
tragen,tragen,A1
typisch,typisch,A1
überhaupt,überhaupt,A1
umtauschen,umtauschen,A1
uns,uns,A1
vergessen,vergessen,A1
Wintermantel,wintermantel,A1
zurück,zurück,A1
Achtung,achtung,A1
April,april,A1
aufregen,aufregen,A1
August,august,A1
bauen,bauen,A1
Baum,baum,A1
besuchen,besuchen,A1
bewölkt,bewölkt,A1
Braut,braut,A1
Dank,dank,A1
darüber,darüber,A1
Deutschlandkarte,deutschlandkarte,A1
Dezember,dezember,A1
eben,eben,A1
einladen,einladen,A1
Einladung,einladung,A1
einverstanden,einverstanden,A1
Eis,eis,A1
Februar,februar,A1
Feier,feier,A1
feiern,feiern,A1
Fest,fest,A1
freuen,freuen,A1
froh,froh,A1
Frühling,frühling,A1
fühlen,fühlen,A1
Gartenparty,gartenparty,A1
Geburtstag,geburtstag,A1
Geburtstagstorte,geburtstagstorte,A1
Geschenk,geschenk,A1
glücklich,glücklich,A1
Glückstag,glückstag,A1
Grad,grad,A1
hageln,hageln,A1
Handschuh,handschuh,A1
Hase,hase,A1
Herbst,herbst,A1
Himmelsrichtung,himmelsrichtung,A1
Hochzeit,hochzeit,A1
Hochzeitsfeier,hochzeitsfeier,A1
Jahreszahl,jahreszahl,A1
Jahreszeit,jahreszeit,A1
Januar,januar,A1
Juli,juli,A1
Kalender,kalender,A1
lieben,lieben,A1
Luftballon,luftballon,A1
lustig,lustig,A1
Mai,mai,A1
Mama,mama,A1
minus,minus,A1
mitbringen,mitbringen,A1
nass,nass,A1
nebelig,nebelig,A1
Norden,norden,A1
November,november,A1
nun,nun,A1
Oktober,oktober,A1
Oktoberfest,oktoberfest,A1
Oma,oma,A1
Osten,osten,A1
Osterei,osterei,A1
Osterfest,osterfest,A1
Osterhase,osterhase,A1
Ostern,ostern,A1
Papa,papa,A1
räumen,räumen,A1
reden,reden,A1
regnen,regnen,A1
samstags,samstags,A1
Schatz,schatz,A1
scheinen,scheinen,A1
schenken,schenken,A1
schlecht,schlecht,A1
Schnee,schnee,A1
Schneemann,schneemann,A1
schneien,schneien,A1
Schokoladenkuchen,schokoladenkuchen,A1
Sekt,sekt,A1
September,september,A1
Sommer,sommer,A1
sonnig,sonnig,A1
Spezialität,spezialität,A1
Standesamt,standesamt,A1
stellen,stellen,A1
Süden,süden,A1
tanzen,tanzen,A1
Teller,teller,A1
Torte,torte,A1
trocken,trocken,A1
