Word,Lower,Level
Flüchtling,flüchtling,B1
fördern,fördern,B1
Fremdsprache,fremdsprache,B1
friedlich,friedlich,B1
Gastarbeiterin,gastarbeiterin,B1
Gastarbeiter,gastarbeiter,B1
Gefühl,gefühl,B1
Gegner,gegner,B1
Gegnerin,gegnerin,B1
Gehalt,gehalt,B1
Gewürz,gewürz,B1
Grenze,grenze,B1
gründen,gründen,B1
hart,hart,B1
Hauptstadt,hauptstadt,B1
Heimat,heimat,B1
Industrie,industrie,B1
irgendwann,irgendwann,B1
jahrelang,jahrelang,B1
Jahrhundert,jahrhundert,B1
Jahrzehnt,jahrzehnt,B1
Jude,jude,B1
Jüdin,jüdin,B1
kaum,kaum,B1
Kindheit,kindheit,B1
Krieg,krieg,B1
Kriegsende,kriegsende,B1
Krippe,krippe,B1
Kritikerin,kritikerin,B1
Kritiker,kritiker,B1
Mauer,mauer,B1
Mauerbau,mauerbau,B1
Mauerfall,mauerfall,B1
Medizin,medizin,B1
merken,merken,B1
Migration,migration,B1
miteinander,miteinander,B1
miterleben,miterleben,B1
musikalisch,musikalisch,B1
Muttersprache,muttersprache,B1
Nachkriegszeit,nachkriegszeit,B1
Nationalsozialismus,nationalsozialismus,B1
NATO,nATO,B1
Notunterkunft,notunterkunft,B1
Öffnung,öffnung,B1
Phase,phase,B1
politisch,politisch,B1
Protest,protest,B1
Regierung,regierung,B1
Republik,republik,B1
Russlanddeutsche,russlanddeutsche,B1
Staat,staat,B1
Staatsgründung,staatsgründung,B1
Stipendium,stipendium,B1
tatsächlich,tatsächlich,B1
Teilung,teilung,B1
verdrängen,verdrängen,B1
vereinigen,vereinigen,B1
verfolgen,verfolgen,B1
verhaften,verhaften,B1
verlängern,verlängern,B1
verlassen,verlassen,B1
vermischen,vermischen,B1
Visum,visum,B1
Weltall,weltall,B1
wiedervereinigen,wiedervereinigen,B1
Wiedervereinigung,wiedervereinigung,B1
zerschlagen,zerschlagen,B1
zurückkehren,zurückkehren,B1
abschicken,abschicken,B1
Abwicklung,abwicklung,B1
amtlich,amtlich,B1
anerkennen,anerkennen,B1
Anerkennung,anerkennung,B1
Anfang,anfang,B1
ansteckend,ansteckend,B1
ausstellen,ausstellen,B1
Bearbeitung,bearbeitung,B1
beglaubigen,beglaubigen,B1
Beglaubigung,beglaubigung,B1
Bekannte,bekannte,B1
benötigen,benötigen,B1
berufen,berufen,B1
bescheinigen,bescheinigen,B1
einreichen,einreichen,B1
enttäuschen,enttäuschen,B1
Enttäuschung,enttäuschung,B1
Erhalt,erhalt,B1
Erklärung,erklärung,B1
erkundigen,erkundigen,B1
Fähigkeit,fähigkeit,B1
Fantasie,fantasie,B1
Formalität,formalität,B1
förmlich,förmlich,B1
Fotokopie,fotokopie,B1
Frieden,frieden,B1
Führungszeugnis,führungszeugnis,B1
garantieren,garantieren,B1
Gedanke,gedanke,B1
Geduld,geduld,B1
geduldig,geduldig,B1
Gemeinsamkeit,gemeinsamkeit,B1
Geruch,geruch,B1
Gesundheitszeugnis,gesundheitszeugnis,B1
gewährleisten,gewährleisten,B1
häufig,häufig,B1
Heimweh,heimweh,B1
herkommen,herkommen,B1
Herkunftsland,herkunftsland,B1
hierher,hierher,B1
hilfsbereit,hilfsbereit,B1
inzwischen,inzwischen,B1
Kopie,kopie,B1
Mentalität,mentalität,B1
nachdenklich,nachdenklich,B1
Pflegehelfer,pflegehelfer,B1
Pflegehelferin,pflegehelferin,B1
Pflegekraft,pflegekraft,B1
Reihe,reihe,B1
Sachbearbeiter,sachbearbeiter,B1
Sachbearbeiterin,sachbearbeiterin,B1
Sprachnachweis,sprachnachweis,B1
übereinstimmen,übereinstimmen,B1
überglücklich,überglücklich,B1
übersetzen,übersetzen,B1
Übersetzung,übersetzung,B1
Übersetzungsbüro,übersetzungsbüro,B1
ungeduldig,ungeduldig,B1
vermissen,vermissen,B1
verurteilen,verurteilen,B1
wahr,wahr,B1
weitergehen,weitergehen,B1
wohlfühlen,wohlfühlen,B1
Ziel,ziel,B1
zügig,zügig,B1
zusammenstellen,zusammenstellen,B1
abhängig,abhängig,B1
absolvieren,absolvieren,B1
Abteilungsleiter,abteilungsleiter,B1
Abteilungsleiterin,abteilungsleiterin,B1
abwechslungsreich,abwechslungsreich,B1
Altenpfleger,altenpfleger,B1
Altenpflegerin,altenpflegerin,B1
Anlage,anlage,B1
Annahme,annahme,B1
anrechnen,anrechnen,B1
Anstellung,anstellung,B1
Arbeitsstelle,arbeitsstelle,B1
Arbeitsweise,arbeitsweise,B1
Arbeitszeit,arbeitszeit,B1
Assistenz,assistenz,B1
Aufteilung,aufteilung,B1
Auszug,auszug,B1
Bachelor,bachelor,B1
beherrschen,beherrschen,B1
beilegen,beilegen,B1
Berufsbezeichnung,berufsbezeichnung,B1
Berufserfahrung,berufserfahrung,B1
Berufsleben,berufsleben,B1
Betriebswirtschaft,betriebswirtschaft,B1
beurteilen,beurteilen,B1
Bewerbungsschreiben,bewerbungsschreiben,B1
Bilanzbuchhalterin,bilanzbuchhalterin,B1
Bilanzbuchhalter,bilanzbuchhalter,B1
bisher,bisher,B1
Briefpapier,briefpapier,B1
Büromaterial,büromaterial,B1
Bürozeit,bürozeit,B1
Catering,catering,B1
daneben,daneben,B1
eigenverantwortlich,eigenverantwortlich,B1
eingehen,eingehen,B1
einschreiben,einschreiben,B1
Eintrittsdatum,eintrittsdatum,B1
Empfang,empfang,B1
empfangen,empfangen,B1
englischsprachig,englischsprachig,B1
entnehmen,entnehmen,B1
Erstellung,erstellung,B1
färben,färben,B1
Fax,fax,B1
Festanstellung,festanstellung,B1
festlegen,festlegen,B1
finanziell,finanziell,B1
Finanzwesen,finanzwesen,B1
Firmensitz,firmensitz,B1
fließend,fließend,B1
Föhn,föhn,B1
fordern,fordern,B1
Formulierung,formulierung,B1
Fortbildung,fortbildung,B1
Frisur,frisur,B1
Gehaltsvorstellung,gehaltsvorstellung,B1
Geschäftsführer,geschäftsführer,B1
Geschäftsführerin,geschäftsführerin,B1
Geschäftsführung,geschäftsführung,B1
gleichzeitig,gleichzeitig,B1
Handlung,handlung,B1
Herausforderung,herausforderung,B1
individuell,individuell,B1
insofern,insofern,B1
intern,intern,B1
Jobbezeichnung,jobbezeichnung,B1
Kamm,kamm,B1
Kommunikationsstärke,kommunikationsstärke,B1
kommunikativ,kommunikativ,B1
Konferenzraum,konferenzraum,B1
Kontaktdaten,kontaktdaten,B1
kümmern,kümmern,B1
leistungsgerecht,leistungsgerecht,B1
leiten,leiten,B1
Managerin,managerin,B1
Manager,manager,B1
Maschinenbau,maschinenbau,B1
meistern,meistern,B1
Millionär,millionär,B1
Millionärin,millionärin,B1
mittelständisch,mittelständisch,B1
nachdem,nachdem,B1
Niveau,niveau,B1
Original,original,B1
PC,pC,B1
Posteingang,posteingang,B1
Probezeit,probezeit,B1
Qualifikation,qualifikation,B1
regeln,regeln,B1
schneiden,schneiden,B1
Schreiben,schreiben,B1
seitdem,seitdem,B1
Selbstständige,selbstständige,B1
senden,senden,B1
Seniorenheim,seniorenheim,B1
soweit,soweit,B1
Speise,speise,B1
spezialisieren,spezialisieren,B1
Stellenanzeige,stellenanzeige,B1
Steuerberater,steuerberater,B1
Steuerberatungsbüro,steuerberatungsbüro,B1
Teamfähigkeit,teamfähigkeit,B1
Telekommunikation,telekommunikation,B1
Terminkalender,terminkalender,B1
traditionsreich,traditionsreich,B1
Überstunde,überstunde,B1
Umgang,umgang,B1
